name,milnovecientos,dosmilveinte,percentage,province,densidad
Seno,453,39,91.39,Teruel,17.85
Singra,399,83,79.19,Teruel,36.72
Terriente,1109,180,83.76,Teruel,47.98
Teruel,12745,36240,-184.34,Teruel,440.41
Toril y Masegoso,366,33,90.98,Teruel,30.67
Tormón,303,25,91.74,Teruel,29.34
Tornos,578,202,65.05,Teruel,48.95
Torralba de los Sisones,608,157,74.17,Teruel,40.39
Torre de Arcas,485,94,80.61,Teruel,34.28
Torre de las Arcas,545,29,94.67,Teruel,37.17
Torre del Compte,748,117,84.35,Teruel,19.46
Torre los Negros,456,83,81.79,Teruel,29.15
Torrecilla de Alcañiz,1105,439,60.27,Teruel,26.76
Torrecilla del Rebollar,891,123,86.19,Teruel,26.76
Torrelacárcel,521,143,72.55,Teruel,35.54
Torremocha de Jiloca,420,107,74.52,Teruel,33.94
Torres de Albarracín,591,185,68.69,Teruel,28.31
Torrevelilla,776,170,78.09,Teruel,33.44
Torrijas,689,43,93.75,Teruel,57.34
Torrijo del Campo,1308,447,65.82,Teruel,44.04
Tramacastiel,668,67,89.97,Teruel,47.29
Tramacastilla,455,104,77.14,Teruel,24.81
Tronchón,997,68,93.17,Teruel,57.11
Urrea de Gaén,1195,427,64.26,Teruel,41.12
Utrillas,712,3006,-322.19,Teruel,39.82
Valacloche,219,20,90.86,Teruel,15.02
Valbona,675,172,74.51,Teruel,40.72
Valdealgorfa,1665,595,64.26,Teruel,46.93
Valdecuenca,320,32,90.00,Teruel,18.64
Valdelinares,825,92,88.84,Teruel,55.09
Valdeltormo,699,281,59.79,Teruel,16
Valderrobres,3058,2435,20.37,Teruel,124.04
Valjunquera,1225,338,72.40,Teruel,41.84
Veguillas de la Sierra,292,21,92.80,Teruel,13.67
Villafranca del Campo,988,285,71.15,Teruel,63.64
Villahermosa del Campo,236,83,64.83,Teruel,19
Villanueva del Rebollar de la Sierra,309,42,86.40,Teruel,75.99
Villar del Cobo,596,160,73.15,Teruel,54.13
Villar del Salz,412,61,85.19,Teruel,38.69
Villarluengo,2128,171,91.96,Teruel,157.89
Villarquemado,872,841,3.55,Teruel,56.43
Villarroya de los Pinares,1095,161,85.29,Teruel,91
Villastar,737,507,31.20,Teruel,39.05
Villel,1182,333,71.82,Teruel,85.38
Vinaceite,544,231,57.53,Teruel,50.07
Visiedo,656,131,80.03,Teruel,55.53
Vivel del Río Martín,946,72,92.38,Teruel,51.16
Abanto,633,92,85.46,Zaragoza,63.84
Acered,745,158,78.79,Zaragoza,30
Aguarón,2275,624,72.57,Zaragoza,18.52
Aguilón,982,233,76.27,Zaragoza,36.62
Agón,499,138,72.34,Zaragoza,59.45
Ainzón,2061,1064,48.37,Zaragoza,40.46
Aladrén,353,52,85.26,Zaragoza,21.06
Alagón,3454,7154,-107.12,Zaragoza,24.22
Alarba,471,116,75.37,Zaragoza,19
Alberite de San Juan,267,74,72.28,Zaragoza,11.23
Albeta,318,134,57.86,Zaragoza,2.65
Alborge,464,107,76.93,Zaragoza,4.84
Alcalá de Ebro,386,245,36.52,Zaragoza,9.87
Alcalá de Moncayo,370,143,61.35,Zaragoza,13.76
Alconchel de Ariza,667,76,88.60,Zaragoza,34.85
Aldehuela de Liestos,257,51,80.15,Zaragoza,38.04
