1910,2018,municipio,cp,densidad,foto
2390,1133,Sarrión,44210,8.06,Sarrion
840,39,Segura de Los Baños,44211,0.72,SeguradeLosBanos
455,39,Seno,44212,2.18,Seno
435,80,Singra,44213,2.17,Singra
1145,183,Terriente,44215,3.81,Terriente
362,30,Toril y Masegoso,44217,0.97,TorilyMasegoso
267,31,Tormón,44218,1.05,Tormon
584,213,Tornos,44219,4.35,Tornos
623,156,Torralba de Los Sisones,44220,3.86,TorralbadeLosSisones
849,127,Torrecilla del Rebollar,44222,4.74,TorrecilladelRebollar
463,89,Torre de Arcas,44223,2.59,TorredeArcas
551,28,Torre de Las Arcas,44224,0.75,TorredeLasArcas
790,132,Torre del Compte,44225,6.78,TorredelCompte
635,154,Torrelacárcel,44226,4.33,Torrelacarcel
462,88,Torre Los Negros,44227,3.01,TorreLosNegros
458,107,Torremocha de Jiloca,44228,3.15,TorremochadeJiloca
599,183,Torres de Albarracín,44229,6.46,TorresdeAlbarracin
890,189,Torrevelilla,44230,5.65,Torrevelilla
620,38,Torrijas,44231,0.66,Torrijas
608,64,Tramacastiel,44234,1.35,Tramacastiel
409,106,Tramacastilla,44235,4.27,Tramacastilla
991,65,Tronchón,44236,1.13,Tronchon
219,21,Valacloche,44239,1.39,Valacloche
765,174,Valbona,44240,4.27,Valbona
388,35,Valdecuenca,44243,1.87,Valdecuenca
816,87,Valdelinares,44244,1.57,Valdelinares
1297,325,Valjunquera,44247,7.76,Valjunquera
510,48,El Vallecillo,44249,2.22,ElVallecillo
272,20,Veguillas de La Sierra,44250,1.46,VeguillasdeLaSierra
1027,297,Villafranca del Campo,44251,4.66,VillafrancadelCampo
248,94,Villahermosa del Campo,44252,4.94,VillahermosadelCampo
314,47,Villanueva del Rebollar de La Sierra,44256,0.61,VillanuevadelRebollardeLaSierra
648,164,Villar del Cobo,44257,3.02,VillardelCobo
644,60,Villar del Salz,44258,1.55,VillardelSalz
1968,177,Villarluengo,44260,1.12,Villarluengo
942,160,Villarroya de Los Pinares,44262,1.75,VillarroyadeLosPinares
1210,327,Villel,44264,3.82,Villel
654,249,Vinaceite,44265,4.97,Vinaceite
593,125,Visiedo,44266,2.25,Visiedo
981,79,Vivel del Río Martín,44267,1.54,ViveldelRioMartin
167,16,La Zoma,44268,1.14,LaZoma
672,97,Abanto,50001,1.51,Abanto
756,165,Acered,50002,5.5,Acered
416,146,Agón,50003,7.88,Agon
1091,235,AguilÃ³n,50005,3.95,Aguilon
345,52,AladrÃ©n,50007,2.46,Aladren
428,133,Alarba,50009,7,Alarba
230,72,Alberite de San Juan,50010,6.41,AlberitedeSanJuan
718,63,Alconchel de Ariza,50015,1.8,AlconcheldeAriza
247,49,Aldehuela de Liestos,50016,1.28,AldehueladeLiestos
450,62,Alforque,50019,5.83,Alforque
133,29,Almochuel,50021,0.9,Almochuel
1253,567,La Almolda,50022,4.31,LaAlmolda
739,252,Almonacid de La Cuba,50023,4.56,AlmonaciddeLaCuba
945,256,Ambel,50027,4.19,Ambel
362,95,Anento,50028,4.41,Anento
1125,213,Añón de Moncayo,50030,3.31,AnondeMoncayo
1654,160,Aranda de Moncayo,50031,1.75,ArandadeMoncayo
1120,309,ArÃ¡ndiga,50032,6.15,Arandiga
455,72,Ardisa,50033,2.63,Ardisa
